employee_id,meeting_hours,meeting_count,after_hours_work_hours,focus_hours,workday_span_hours
1,5.69,8,0.15,2.41,11.76
2,1.0,6,0.07,4.99,8.17
3,1.42,5,0.66,4.11,9.26
4,1.14,10,0.0,2.27,10.03
5,4.07,3,2.89,2.32,6.03
6,3.5,3,2.99,3.69,9.79
7,1.91,4,0.92,4.59,11.73
8,1.73,8,0.14,1.51,10.86
9,2.1,2,1.88,4.03,8.35
10,3.74,5,2.32,1.96,11.24
11,3.37,7,0.53,1.01,6.96
12,4.15,12,2.57,4.5,9.54
13,3.77,5,2.45,3.92,7.53
14,3.39,2,2.99,4.71,7.96
15,4.02,8,1.43,4.04,8.41
16,1.39,6,1.81,2.26,6.67
17,4.91,4,0.89,2.03,11.64
18,1.61,9,1.95,4.11,10.23
19,5.48,5,1.1,3.96,9.7
20,4.9,10,0.95,3.06,6.83
21,5.22,8,2.59,1.56,11.69
22,1.1,7,2.88,1.66,8.55
23,5.88,10,1.39,4.17,10.15
24,4.2,5,1.01,4.52,9.51
25,4.72,3,0.59,4.26,9.83
26,1.53,6,0.8,3.04,6.66
27,5.84,4,2.72,4.78,11.37
28,3.51,6,0.07,4.0,11.24
29,2.35,10,2.6,4.65,11.45
30,5.31,3,2.52,4.63,11.5
31,3.87,3,2.37,4.14,10.34
32,5.35,10,1.52,1.05,6.2
33,5.75,4,0.22,1.55,8.96
34,1.37,6,2.2,3.68,7.26
35,5.48,4,2.36,4.42,8.12
36,3.56,11,0.0,3.28,10.35
37,5.09,11,1.49,4.05,7.78
38,1.86,11,0.39,4.24,8.36
39,5.01,6,2.54,2.27,9.07
40,4.28,10,2.78,1.19,8.29
41,4.51,2,2.81,1.16,11.58
42,1.39,12,2.28,1.34,9.44
43,3.27,9,0.26,3.38,11.22
44,4.19,3,2.72,4.62,10.08
45,4.19,2,1.33,4.37,9.97
46,3.35,6,0.99,2.5,8.62
47,1.82,6,1.51,4.89,10.83
48,5.61,9,2.79,2.37,7.12
49,1.17,2,0.83,3.59,6.1
50,4.24,6,0.76,2.18,7.13
51,4.11,3,2.02,1.29,7.63
52,1.27,6,0.69,3.41,9.39
53,4.99,4,0.5,4.49,12.0
54,2.47,6,1.54,3.32,11.07
55,3.13,5,0.45,1.14,11.92
56,3.5,9,2.6,2.15,7.98
57,3.54,4,0.9,1.78,6.9
58,1.7,3,1.37,3.45,7.94
59,2.38,12,0.99,3.93,8.56
60,2.63,12,0.98,3.5,8.87
61,5.25,6,2.55,2.49,6.79
62,2.37,10,0.59,4.95,9.42
63,4.74,3,2.41,1.71,11.68
64,2.01,6,1.88,3.47,6.45
65,1.97,11,1.06,1.22,11.97
66,2.95,3,0.27,3.28,8.24
67,4.48,2,2.88,3.68,9.07
68,2.69,11,0.97,3.24,11.81
69,5.1,5,2.1,1.03,6.68
70,2.8,6,0.67,2.21,7.91
71,1.04,8,1.28,3.18,9.95
72,2.66,8,0.12,1.74,9.33
73,2.66,5,1.88,1.52,11.01
74,2.21,2,1.35,2.2,11.74
75,4.95,8,2.82,4.99,9.13
76,4.83,12,0.26,3.23,9.97
77,3.54,5,1.73,1.42,8.46
78,4.75,8,1.23,4.18,10.03
79,2.63,7,2.91,2.72,6.3
