Q1,Q2,Q3,Q4,Q5,Q6,Q10,Q11,Q12,Q13,Q14,Q15,Q19,Q20,Q21,Q22,Q25,Q26,Q27,Q28
Slightly High,Occasionally,Predictable,High,Improve productivity,Controlled,In control,Moderate,Slightly tired,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Very HIgh,Almost Daily,Mostly predictable,High,Improve productivity,Busy,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Often,Very comfortable,Clear,Rare,Moderate,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Rare,High,Fully refreshed,Comfortable,Minimal
Slightly High,Occasionally,Predictable,High,Major disruption,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,Low,Slight impact,Busy,Managing,Very weak,Satisfied and clear,Try to figure out,Rarely,Analyze and fix,Always,Very comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Noticeable strain,Minimal
Slightly high,Frequently,Sometimes unpredictable,Moderate,Improve productivity,Controlled,Overwhelmed,Strong,Satisfied and clear,Try to figure out,Frequently,Analyze and fix,Often,Comfortable,Mostly clear,Occasional,Low,Mostly refreshed,Noticeable strain,Mild
Slightly high,Frequently,Mostly predictable,Moderate,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Delay starting,Rarely,Analyze and fix,Always,Comfortable,Mostly clear,Rare,Moderate,Fully refreshed,Comfortable,Noticeable
Well-balanced,Occasionally,Mostly predictable,High,Improve productivity,Controlled,In control,Strong,Satisfied and clear,Try to figure out,Occasionally,Adjust quickly,Often,Slightly uncomfortable,Mostly clear,Rare,High,Mostly refreshed,Comfortable,Minimal
Well-balanced,Rarely,Sometimes unpredictable,High,Slight impact,Controlled,Managing,Moderate,Overwhelmed,Clarify immediately,Rarely,Adjust quickly,Often,Slightly uncomfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Minimal
Very high,Rarely,Sometimes unpredictable,Low,Reduce productivity,Controlled,In control,Weak,Slightly tired,Clarify immediately,Occasionally,Analyze and fix,Often,Comfortable,Clear,Rare,Moderate,Mostly refreshed,Noticeable strain,Noticeable
Very high,Rarely,Predictable,High,Improve productivity,Controlled,In control,Weak,Satisfied and clear,Clarify immediately,Occasionally,Feel stressed,Often,Very comfortable,Mostly clear,Rare,High,Fully refreshed,Slight discomfort,Minimal
Slightly high,Occasionally,Predictable,High,Slight impact,Hectic,Managing,Weak,Satisfied and clear,Try to figure out,Rarely,Feel stressed,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Comfortable,Noticeable
Well-balanced,Rarely,Predictable,Low,Slight impact,Controlled,Managing,Moderate,Slightly tired,Try to figure out,Occasionally,Analyze and fix,Sometimes,Very comfortable,Clear,Rare,High,Mostly refreshed,Noticeable strain,Mild
Slightly high,Rarely,Sometimes unpredictable,Moderate,Reduce productivity,Chaotic,Overwhelmed,Moderate,Mentally drained,Delay starting,Rarely,Feel stressed,Sometimes,Comfortable,Clear,Occasional,Moderate,Mostly refreshed,Comfortable,Noticeable
Well-balanced,Rarely,Mostly predictable,No control,Improve productivity,Controlled,Managing,Moderate,Slightly tired,Clarify immediately,Rarely,Feel stressed,Sometimes,Very comfortable,Clear,Frequent,Moderate,Fully refreshed,Slight discomfort,Noticeable
Very high,Occasionally,Sometimes unpredictable,Low,Improve productivity,Controlled,In control,Very weak,Mentally drained,Clarify immediately,Rarely,Analyze and fix,Always,Very comfortable,Sometimes unclear,Frequent,High,Slightly refreshed,Comfortable,Noticeable
Slightly high,Occasionally,Mostly predictable,Low,Slight impact,Controlled,Managing,Strong,Slightly tired,Try to figure out,Frequently,Feel stressed,Often,Uncomfortable,Mostly clear,Rare,Low,Mostly refreshed,Uncomfortable,Noticeable
Well-balanced,Rarely,Predictable,Low,Improve productivity,Hectic,Struggling,Strong,Slightly tired,Clarify immediately,Rarely,Adjust quickly,Always,Slightly uncomfortable,Clear,Occasional,Moderate,Mostly refreshed,Noticeable strain,Noticeable
Well-balanced,Occasionally,Sometimes unpredictable,High,Improve productivity,Controlled,Managing,Moderate,Satisfied and clear,Delay starting,Frequently,Feel stressed,Always,Very comfortable,Clear,Occasional,High,Fully refreshed,Slight discomfort,Mild
