employee_id,meeting_hours,meeting_count,after_hours_work_hours,focus_hours,workday_span_hours
1,5.85,8,0.88,3.52,10.83
2,3.64,9,2.57,1.22,10.37
3,1.8,11,0.64,4.5,7.65
4,3.86,6,0.72,2.39,8.72
5,3.7,8,0.34,2.13,11.02
6,1.31,12,0.98,1.89,10.68
7,5.52,8,2.85,3.61,6.58
8,3.5,3,2.79,1.37,9.36
9,2.61,7,0.3,4.44,9.3
10,2.37,6,1.95,3.99,8.49
11,3.0,8,2.98,2.36,11.21
12,5.02,8,1.53,1.94,6.86
13,5.01,8,2.06,4.97,6.45
14,4.37,5,2.35,1.02,7.53
15,3.04,3,2.31,4.06,10.0
16,3.72,11,2.36,1.22,10.11
17,5.81,5,1.81,4.69,7.27
18,2.31,8,2.04,4.77,10.75
19,1.02,12,0.44,4.37,7.12
20,1.2,4,1.89,1.49,6.51
21,1.04,2,1.28,1.83,6.89
22,1.67,5,1.38,4.06,10.09
23,3.27,11,0.21,4.35,6.92
24,3.15,4,1.96,1.47,10.8
25,4.35,9,1.27,2.72,6.57
26,3.98,7,1.98,2.72,11.26
27,2.91,11,0.3,3.23,6.63
28,5.34,12,2.68,3.18,6.38
29,4.33,12,0.44,1.54,10.95
30,2.25,9,2.86,2.31,10.64
31,3.1,3,0.04,1.72,9.81
32,5.29,12,0.62,2.34,10.65
33,3.11,9,2.99,1.61,11.99
34,4.41,2,0.7,1.16,8.06
35,3.62,10,2.13,4.24,11.29
36,3.08,7,1.4,4.45,7.76
37,2.28,8,1.77,4.38,9.5
38,3.3,8,0.18,4.98,11.64
39,4.47,9,0.97,2.8,10.13
40,4.26,7,1.4,2.94,8.89
41,2.47,4,2.84,3.26,10.05
42,5.17,6,1.91,3.29,11.05
43,3.81,10,0.87,1.18,6.96
44,5.34,9,1.39,4.58,6.98
45,2.05,10,2.84,4.18,11.06
46,3.95,12,2.84,1.93,6.32
47,3.74,12,2.04,1.44,8.97
48,4.49,4,2.85,3.8,6.87
49,3.99,9,2.5,2.51,8.41
50,4.45,4,1.61,3.91,6.6
51,4.27,2,0.72,1.97,8.11
