employee_id,meeting_hours,meeting_count,after_hours_work_hours,focus_hours,workday_span_hours
1,2.66,9,0.35,3.31,8.11
2,2.63,9,2.33,1.08,9.68
3,4.49,7,2.18,1.52,8.37
4,3.99,2,1.42,3.2,8.48
5,5.71,6,0.49,3.75,10.82
6,1.33,5,0.53,3.2,9.94
7,2.43,4,1.79,1.11,9.21
8,3.85,7,0.34,4.79,9.56
9,2.45,11,2.58,2.72,9.18
10,1.67,12,1.25,2.36,8.27
11,2.16,2,2.7,4.76,7.18
12,4.65,12,1.68,3.99,8.82
13,2.57,8,1.2,3.11,10.62
14,4.18,7,2.08,2.17,7.74
15,2.18,4,0.22,4.58,7.88
16,5.59,4,0.3,1.02,10.17
17,3.25,10,1.03,3.58,11.71
18,1.83,8,2.63,1.74,7.83
19,3.76,4,1.97,2.74,6.69
20,4.66,11,0.23,3.93,8.68
21,2.7,4,1.77,1.23,7.39
22,1.96,11,0.55,3.85,6.5
23,4.92,9,2.01,4.71,9.95
24,3.13,4,1.04,3.84,7.76
25,2.42,7,1.31,4.64,8.47
26,5.31,12,0.23,3.35,10.99
27,5.03,9,0.95,1.36,7.25
28,5.26,5,0.53,4.24,9.28
29,1.17,7,0.85,2.83,11.66
30,2.2,12,1.32,2.74,7.2
31,5.98,9,0.25,1.16,10.59
32,1.79,3,1.29,2.66,9.86
33,4.71,5,1.76,3.79,9.25
34,2.93,4,1.84,1.03,7.36
35,1.54,9,1.64,1.84,9.81
36,2.31,11,2.17,2.71,9.3
37,3.46,3,1.44,2.14,7.49
38,4.52,8,0.95,2.23,10.4
39,1.33,6,1.99,3.4,8.02
40,3.85,12,2.83,3.0,11.64
41,3.54,10,0.46,1.32,8.58
42,2.25,5,2.37,4.46,11.52
43,5.65,5,1.59,3.28,11.77
44,2.52,7,0.7,3.89,6.15
45,1.39,3,1.33,4.8,9.39
46,3.07,6,0.88,3.1,7.9
47,4.31,11,2.72,2.55,10.67
48,2.74,4,1.47,4.8,8.09
49,2.78,7,2.49,4.49,8.5
50,5.05,12,2.42,4.1,9.45
51,4.29,7,0.62,2.76,8.91
52,3.09,6,0.53,2.3,11.94
53,3.01,5,1.24,3.74,10.23
54,1.68,2,2.7,2.06,7.92
55,3.61,9,1.41,3.59,8.77
56,2.73,11,1.31,2.74,11.04
57,5.83,6,0.54,1.18,8.24
58,3.47,9,2.21,4.55,6.32
59,4.02,12,0.79,1.01,11.05
60,1.49,10,2.59,3.59,7.86
61,3.26,10,1.89,4.09,7.07
62,4.3,5,1.46,2.91,11.31
63,5.39,12,1.49,1.7,9.79
64,5.81,6,2.92,1.71,11.95
65,1.52,8,1.09,3.71,10.16
66,3.44,8,1.81,2.18,10.92
67,3.03,6,0.71,3.35,7.87
68,3.75,7,2.07,1.57,6.22
69,3.0,2,2.09,4.97,6.58
70,1.16,12,0.24,2.76,11.78
71,4.71,8,2.3,1.13,11.27
72,2.62,2,1.93,3.98,7.42
73,4.46,3,1.88,3.15,11.71
74,4.84,3,2.22,4.51,10.23
75,4.85,3,1.25,2.19,9.06
76,5.66,3,0.66,3.3,6.31
77,5.29,3,1.57,4.0,10.62
78,5.2,2,0.97,1.37,11.14
79,2.39,5,0.41,2.3,9.68
80,2.37,9,0.66,1.91,7.65
81,3.26,6,1.15,3.67,9.31
82,4.54,10,0.75,4.64,10.9
83,1.22,3,1.5,3.13,11.78
84,3.43,10,2.61,2.51,9.22
85,2.21,4,1.42,2.38,8.97
86,5.79,6,2.39,4.88,8.95
87,3.93,12,2.58,3.78,7.1
88,5.91,10,2.73,1.82,9.53
89,4.2,5,0.38,1.79,9.55
90,2.68,11,2.68,3.16,8.61
91,5.02,7,2.96,2.14,10.23
92,3.04,9,1.18,1.21,7.84
93,2.15,12,2.15,2.32,6.36
94,2.96,10,1.56,2.39,8.26
95,3.93,5,2.99,3.53,11.39
96,3.08,11,2.28,1.93,10.48
97,4.48,5,2.45,1.63,6.54
98,2.23,10,2.96,1.12,6.44
99,3.18,4,1.22,1.59,8.46
100,5.92,4,0.04,4.53,11.95
101,4.05,9,2.29,3.11,10.14
102,2.25,9,0.39,1.27,10.29
103,4.25,7,0.29,4.74,7.84
104,3.28,3,1.74,1.93,11.03
105,1.41,7,0.25,4.13,10.45
106,5.2,2,2.32,2.27,7.95
107,4.84,5,0.19,4.6,7.56
108,1.73,10,1.06,4.71,10.32
109,4.48,4,2.97,3.01,6.13
110,2.21,11,2.13,3.48,9.96
111,5.11,6,0.35,3.64,10.71
112,2.06,12,1.21,3.96,6.66
113,4.34,7,0.52,4.24,7.32
114,3.83,6,0.91,3.5,10.18
115,3.42,5,1.44,4.72,7.7
116,1.44,5,2.62,2.73,6.24
117,1.36,12,2.05,3.0,9.49
118,1.56,5,2.88,1.24,7.42
119,1.26,3,2.93,2.49,10.95
120,3.73,5,1.51,1.49,9.42
121,2.42,6,0.38,1.27,7.1
122,5.79,5,2.14,1.66,7.46
123,2.72,9,2.73,2.22,6.38
